UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10265674.44,5081.271,10024.867,180.000,180.000,180.000,151.562
10265674.70,5081.270,10024.862,180.000,180.000,180.000,151.566
10265674.88,5081.270,10024.856,180.000,180.000,180.000,151.569
10265675.06,5081.270,10024.856,180.000,180.000,180.000,151.572
10265675.26,5081.270,10024.858,180.000,180.000,180.000,151.576
10265675.42,5081.271,10024.858,180.000,180.000,180.000,151.578
10265675.62,5081.270,10024.860,180.000,180.000,180.000,151.582
10265675.76,5081.271,10024.865,180.000,180.000,180.000,151.584
10265675.94,5081.270,10024.867,180.000,180.000,180.000,151.587
10265676.10,5081.271,10024.867,180.000,180.000,180.000,151.590
10265676.26,5081.271,10024.864,180.000,180.000,180.000,151.592
10265676.42,5081.270,10024.860,180.000,180.000,180.000,151.595
10265676.60,5081.270,10024.860,180.000,180.000,180.000,151.598
10265676.76,5081.270,10024.859,180.000,180.000,180.000,151.600
10265676.92,5081.270,10024.860,180.000,180.000,180.000,151.603
10265677.10,5081.270,10024.859,180.000,180.000,180.000,151.606
10265677.26,5081.270,10024.862,180.000,180.000,180.000,151.609
10265677.42,5081.269,10024.864,180.000,180.000,180.000,151.612
10265677.58,5081.270,10024.865,180.000,180.000,180.000,151.614
10265677.74,5081.523,10024.856,180.000,179.998,179.996,151.617
10265677.90,5082.880,10024.802,180.000,179.991,179.982,151.620
10265678.02,5086.255,10024.441,179.999,179.979,179.958,151.622
10265678.18,5094.894,10024.076,179.998,179.961,179.923,151.624
10265678.26,5101.067,10024.178,179.998,179.952,179.905,151.626
10265678.42,5117.170,10024.565,179.997,179.934,179.868,151.628
10265678.58,5138.312,10025.057,179.996,179.915,179.831,151.631
10265678.74,5164.513,10025.679,179.995,179.897,179.794,151.634
10265678.90,5195.794,10026.430,179.994,179.878,179.757,151.636
10265679.06,5232.171,10027.257,179.993,179.859,179.720,151.639
10265679.22,5273.665,10028.122,179.992,179.841,179.682,151.642
10265679.38,5320.294,10029.041,179.991,179.822,179.645,151.644
10265679.54,5372.076,10030.065,179.990,179.803,179.607,151.647
